,precision,recall,f1-score,support
0,0.49748743718592964,0.4925373134328358,0.495,201.0
1,0.45454545454545453,0.49382716049382713,0.4733727810650887,81.0
2,0.7633587786259542,0.8130081300813008,0.7874015748031497,123.0
3,0.7093023255813954,0.4765625,0.5700934579439253,128.0
4,0.6356589147286822,0.82,0.7161572052401746,100.0
accuracy,0.6034755134281201,0.6034755134281201,0.6034755134281201,0.6034755134281201
macro avg,0.6120705821334832,0.6191870208015927,0.6084050038104676,633.0
weighted avg,0.6083141794799887,0.6034755134281201,0.5991726257628743,633.0
