,precision,recall,f1-score,support
0,0.6027397260273972,0.6567164179104478,0.6285714285714286,201.0
1,0.5362318840579711,0.4567901234567901,0.4933333333333334,81.0
2,0.8571428571428571,0.8292682926829268,0.8429752066115702,123.0
3,0.7401574803149606,0.734375,0.7372549019607842,128.0
4,0.7777777777777778,0.77,0.7738693467336684,100.0
accuracy,0.69826224328594,0.69826224328594,0.69826224328594,0.69826224328594
macro avg,0.7028099450641927,0.6894299668100329,0.695200843442157,633.0
weighted avg,0.6991026449081621,0.69826224328594,0.6978584039185268,633.0
