,precision,recall,f1-score,support
0,0.7307692307692307,0.6333333333333333,0.6785714285714285,30.0
1,0.6,0.75,0.6666666666666665,8.0
2,1.0,0.8571428571428571,0.923076923076923,7.0
3,0.6666666666666666,0.6,0.631578947368421,10.0
4,0.6153846153846154,0.8888888888888888,0.7272727272727274,9.0
accuracy,0.703125,0.703125,0.703125,0.703125
macro avg,0.7225641025641025,0.7458730158730159,0.7254333385912333,64.0
weighted avg,0.7176282051282051,0.703125,0.703332166736772,64.0
