,precision,recall,f1-score,support
0,0.4,0.3076923076923077,0.34782608695652173,13.0
1,0.625,0.7142857142857143,0.6666666666666666,7.0
2,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
3,0.7777777777777778,0.875,0.823529411764706,8.0
4,0.625,0.7142857142857143,0.6666666666666666,7.0
accuracy,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.6590909090909091
macro avg,0.6633333333333333,0.700030525030525,0.67871554418869,44.0
weighted avg,0.6402777777777777,0.6590909090909091,0.6464388126792219,44.0
