,precision,recall,f1-score,support
0,0.5078534031413613,0.48258706467661694,0.4948979591836735,201.0
1,0.41975308641975306,0.41975308641975306,0.41975308641975306,81.0
2,0.75,0.7317073170731707,0.7407407407407408,123.0
3,0.5615384615384615,0.5703125,0.5658914728682171,128.0
4,0.5765765765765766,0.64,0.6066350710900474,100.0
accuracy,0.5655608214849921,0.5655608214849921,0.5655608214849921,0.5655608214849921
macro avg,0.5631443055352304,0.5688719936339082,0.5655836660604864,633.0
weighted avg,0.5653445730900385,0.5655608214849921,0.5650603736858862,633.0
