,precision,recall,f1-score,support
0,0.3142857142857143,0.4583333333333333,0.3728813559322034,24.0
1,0.25,0.09090909090909091,0.13333333333333333,11.0
2,0.6875,0.6470588235294118,0.6666666666666667,17.0
3,0.6,0.3157894736842105,0.41379310344827586,19.0
4,0.5714285714285714,0.8,0.6666666666666666,15.0
accuracy,0.47674418604651164,0.47674418604651164,0.47674418604651164,0.47674418604651164
macro avg,0.48464285714285715,0.4624181442912093,0.4506682252094292,86.0
weighted avg,0.4878114617940199,0.47674418604651164,0.4605955989289549,86.0
