,precision,recall,f1-score,support
0,0.2631578947368421,0.2777777777777778,0.27027027027027023,18.0
1,0.0,0.0,0.0,6.0
2,0.6,0.6666666666666666,0.631578947368421,9.0
3,0.6666666666666666,0.36363636363636365,0.4705882352941177,11.0
4,0.5882352941176471,1.0,0.7407407407407407,10.0
accuracy,0.46296296296296297,0.46296296296296297,0.46296296296296297,0.46296296296296297
macro avg,0.42361197110423116,0.4616161616161616,0.42263563873470994,54.0
weighted avg,0.4324542292550548,0.46296296296296297,0.4283880256819139,54.0
