,precision,recall,f1-score,support
0,0.47619047619047616,0.4166666666666667,0.4444444444444445,24.0
1,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0
2,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
3,0.6521739130434783,0.7894736842105263,0.7142857142857143,19.0
4,0.5,0.6,0.5454545454545454,15.0
accuracy,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976
macro avg,0.6046644744854464,0.5986612252556525,0.5944317120787709,86.0
weighted avg,0.6000650007222302,0.6046511627906976,0.5966139803349105,86.0
