,precision,recall,f1-score,support
0,0.3,0.23076923076923078,0.2608695652173913,13.0
1,0.4444444444444444,0.5714285714285714,0.5,7.0
2,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
3,0.7777777777777778,0.875,0.823529411764706,8.0
4,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
accuracy,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182
macro avg,0.5679365079365079,0.5989316239316239,0.5803718588884829,44.0
weighted avg,0.5507575757575758,0.5681818181818182,0.5563531736805394,44.0
