,precision,recall,f1-score,support
0,0.29411764705882354,0.2777777777777778,0.28571428571428575,18.0
1,0.1111111111111111,0.16666666666666666,0.13333333333333333,6.0
2,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
3,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
4,0.625,0.5,0.5555555555555556,10.0
accuracy,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889
macro avg,0.4080659536541889,0.39090909090909093,0.396940836940837,54.0
weighted avg,0.4113108206245461,0.3888888888888889,0.39811875367430927,54.0
