,precision,recall,f1-score,support
0,0.4146341463414634,0.3541666666666667,0.38202247191011235,48.0
1,0.21052631578947367,0.25,0.22857142857142856,16.0
2,0.7333333333333333,0.7586206896551724,0.7457627118644068,29.0
3,0.5238095238095238,0.4074074074074074,0.4583333333333333,27.0
4,0.32,0.5,0.39024390243902435,16.0
accuracy,0.45588235294117646,0.45588235294117646,0.45588235294117646,0.45588235294117646
macro avg,0.44046066385475874,0.4540389527458493,0.44098676962366107,136.0
weighted avg,0.469120469754012,0.45588235294117646,0.45764884258765026,136.0
