,precision,recall,f1-score,support
0,0.42105263157894735,0.4444444444444444,0.43243243243243246,18.0
1,0.3333333333333333,0.4444444444444444,0.380952380952381,9.0
2,0.875,0.7777777777777778,0.823529411764706,9.0
3,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
4,1.0,0.6666666666666666,0.8,9.0
accuracy,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143
macro avg,0.6713317384370016,0.6121212121212121,0.6328373904844493,56.0
weighted avg,0.6331062030075189,0.5892857142857143,0.6040021413970995,56.0
