,precision,recall,f1-score,support
0,0.16666666666666666,0.024271844660194174,0.0423728813559322,206.0
1,0.6134453781512605,0.8795180722891566,0.7227722772277227,83.0
2,0.7833333333333333,0.746031746031746,0.7642276422764228,126.0
3,0.6774193548387096,0.7777777777777778,0.7241379310344828,135.0
4,0.42105263157894735,0.9411764705882353,0.5818181818181818,102.0
accuracy,0.5720858895705522,0.5720858895705522,0.5720858895705522,0.5720858895705522
macro avg,0.5323834729137835,0.673755182269422,0.5670657827425485,652.0
weighted avg,0.4882642347303165,0.5720858895705522,0.4940424397717209,652.0
