,precision,recall,f1-score,support
0,0.6487804878048781,0.6456310679611651,0.6472019464720195,206.0
1,0.8311688311688312,0.7710843373493976,0.8,83.0
2,0.8449612403100775,0.8650793650793651,0.8549019607843137,126.0
3,0.7583892617449665,0.837037037037037,0.795774647887324,135.0
4,0.8043478260869565,0.7254901960784313,0.7628865979381443,102.0
accuracy,0.7561349693251533,0.7561349693251533,0.7561349693251533,0.7561349693251533
macro avg,0.7775295294231419,0.7688644007010793,0.7721530306163603,652.0
weighted avg,0.7569431569790303,0.7561349693251533,0.7556522369425445,652.0
