,precision,recall,f1-score,support
0,0.5529953917050692,0.5825242718446602,0.5673758865248227,206.0
1,0.7222222222222222,0.7831325301204819,0.7514450867052022,83.0
2,0.7948717948717948,0.7380952380952381,0.7654320987654322,126.0
3,0.6422764227642277,0.5851851851851851,0.6124031007751938,135.0
4,0.6666666666666666,0.6862745098039216,0.6763285024154588,102.0
accuracy,0.6549079754601227,0.6549079754601227,0.6549079754601227,0.6549079754601227
macro avg,0.675806499645996,0.6750423470098973,0.674596935037222,652.0
weighted avg,0.6575500895133521,0.6549079754601227,0.6554505293191989,652.0
