,precision,recall,f1-score,support
0,0.65,0.65,0.65,20.0
1,0.5333333333333333,0.6153846153846154,0.5714285714285715,13.0
2,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
3,0.6666666666666666,0.7619047619047619,0.7111111111111111,21.0
4,0.75,0.5294117647058824,0.6206896551724139,17.0
accuracy,0.6966292134831461,0.6966292134831461,0.6966292134831461,0.6966292134831461
macro avg,0.6977777777777777,0.6891180061768296,0.6884236453201972,89.0
weighted avg,0.704307116104869,0.6966292134831461,0.6956587516835484,89.0
