,precision,recall,f1-score,support
0,0.5849056603773585,0.6326530612244898,0.6078431372549019,49.0
1,0.9285714285714286,0.8125,0.8666666666666666,16.0
2,0.7058823529411765,0.8275862068965517,0.7619047619047619,29.0
3,0.56,0.5,0.5283018867924528,28.0
4,0.5714285714285714,0.4444444444444444,0.5,18.0
accuracy,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
macro avg,0.670157602663707,0.6434367425130972,0.6529432905237567,140.0
weighted avg,0.6425273052617273,0.6428571428571429,0.6395619379827403,140.0
