,precision,recall,f1-score,support
0,0.69,0.6699029126213593,0.6798029556650246,206.0
1,0.8518518518518519,0.8313253012048193,0.8414634146341464,83.0
2,0.9016393442622951,0.873015873015873,0.8870967741935485,126.0
3,0.75,0.7777777777777778,0.7636363636363638,135.0
4,0.7431192660550459,0.7941176470588235,0.7677725118483412,102.0
accuracy,0.7714723926380368,0.7714723926380368,0.7714723926380368,0.7714723926380368
macro avg,0.7873220924338385,0.7892279023357306,0.7879544039954849,652.0
weighted avg,0.772236850028171,0.7714723926380368,0.7715625324071415,652.0
