,precision,recall,f1-score,support
0,0.75,0.631578947368421,0.6857142857142857,38.0
1,0.5,0.6470588235294118,0.5641025641025642,17.0
2,0.7878787878787878,0.7647058823529411,0.7761194029850745,34.0
3,0.7352941176470589,0.7575757575757576,0.746268656716418,33.0
4,0.88,0.9166666666666666,0.8979591836734694,24.0
accuracy,0.7397260273972602,0.7397260273972602,0.7397260273972602,0.7397260273972602
macro avg,0.7306345811051693,0.7435172154986396,0.7340328186383623,146.0
weighted avg,0.7477574292481626,0.7397260273972602,0.7411837823848222,146.0
