,precision,recall,f1-score,support
0,0.5333333333333333,0.47058823529411764,0.5,17.0
1,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
2,0.7,0.7,0.7,10.0
3,0.6666666666666666,0.8333333333333334,0.7407407407407408,12.0
4,1.0,0.9090909090909091,0.9523809523809523,11.0
accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,0.7466666666666666,0.7492691622103387,0.7452910052910052,56.0
weighted avg,0.7154761904761904,0.7142857142857143,0.7118764172335601,56.0
