,precision,recall,f1-score,support
0,0.7931034482758621,0.6764705882352942,0.7301587301587301,34.0
1,0.7777777777777778,0.875,0.823529411764706,8.0
2,1.0,0.8571428571428571,0.923076923076923,7.0
3,0.5833333333333334,0.7,0.6363636363636365,10.0
4,0.6363636363636364,0.875,0.7368421052631579,8.0
accuracy,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418
macro avg,0.7581156391501219,0.7967226890756303,0.7699941613254307,67.0
weighted avg,0.7628654013111039,0.746268656716418,0.748261847564098,67.0
