,precision,recall,f1-score,support
0,0.48484848484848486,0.8421052631578947,0.6153846153846154,38.0
1,0.0,0.0,0.0,17.0
2,0.6333333333333333,0.5588235294117647,0.59375,34.0
3,0.48148148148148145,0.3939393939393939,0.43333333333333324,33.0
4,0.5454545454545454,0.5,0.5217391304347826,24.0
accuracy,0.5205479452054794,0.5205479452054794,0.5205479452054794,0.5205479452054794
macro avg,0.429023569023569,0.4589736373018106,0.43284141583054625,146.0
weighted avg,0.4721737927217379,0.5205479452054794,0.4821496884592477,146.0
