,precision,recall,f1-score,support
0,0.6571428571428571,0.6052631578947368,0.6301369863013698,38.0
1,0.5,0.5294117647058824,0.5142857142857143,17.0
2,0.8285714285714286,0.8529411764705882,0.8405797101449276,34.0
3,0.7419354838709677,0.696969696969697,0.71875,33.0
4,0.7037037037037037,0.7916666666666666,0.7450980392156864,24.0
accuracy,0.7054794520547946,0.7054794520547946,0.7054794520547946,0.7054794520547946
macro avg,0.6862706946577914,0.6952504925415142,0.6897700899895396,146.0
weighted avg,0.7055864178047122,0.7054794520547946,0.7045813404685837,146.0
