,precision,recall,f1-score,support
0,0.47058823529411764,0.3333333333333333,0.39024390243902435,24.0
1,0.18181818181818182,0.16666666666666666,0.17391304347826086,12.0
2,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
3,0.45,0.47368421052631576,0.46153846153846156,19.0
4,0.6666666666666666,0.9411764705882353,0.7804878048780487,17.0
accuracy,0.5280898876404494,0.5280898876404494,0.5280898876404494,0.5280898876404494
macro avg,0.4949910873440285,0.5241486068111455,0.5024131130549944,89.0
weighted avg,0.5096547096877566,0.5280898876404494,0.511127344184644,89.0
