,precision,recall,f1-score,support
0,0.5945945945945946,0.4489795918367347,0.5116279069767442,49.0
1,0.5,0.5333333333333333,0.5161290322580646,15.0
2,0.6774193548387096,0.7,0.6885245901639343,30.0
3,0.5806451612903226,0.6666666666666666,0.6206896551724138,27.0
4,0.4166666666666667,0.5555555555555556,0.4761904761904762,18.0
accuracy,0.5683453237410072,0.5683453237410072,0.5683453237410072,0.5683453237410072
macro avg,0.5538651554780587,0.5809070294784581,0.5626323321523266,139.0
weighted avg,0.5765117635621232,0.5683453237410072,0.5668884164872893,139.0
