,precision,recall,f1-score,support
0,0.6153846153846154,0.42105263157894735,0.5,19.0
1,0.5384615384615384,0.875,0.6666666666666667,8.0
2,0.75,0.9,0.8181818181818182,10.0
3,1.0,0.8333333333333334,0.9090909090909091,12.0
4,0.7,0.7777777777777778,0.7368421052631577,9.0
accuracy,0.7068965517241379,0.7068965517241379,0.7068965517241379,0.7068965517241379
macro avg,0.7207692307692307,0.7614327485380117,0.7261562998405104,58.0
weighted avg,0.7206896551724138,0.7068965517241379,0.6992382995105317,58.0
