,precision,recall,f1-score,support
0,0.5089820359281437,0.40865384615384615,0.4533333333333333,208.0
1,0.4077669902912621,0.5185185185185185,0.45652173913043476,81.0
2,0.83,0.6587301587301587,0.7345132743362832,126.0
3,0.6616541353383458,0.6616541353383458,0.6616541353383458,133.0
4,0.5906040268456376,0.8461538461538461,0.6956521739130435,104.0
accuracy,0.5920245398773006,0.5920245398773006,0.5920245398773006,0.5920245398773006
macro avg,0.5998014376806778,0.6187421009789431,0.6003349312102881,652.0
weighted avg,0.6026076817156326,0.5920245398773006,0.5892148663439061,652.0
