,precision,recall,f1-score,support
0,0.5833333333333334,0.5526315789473685,0.5675675675675677,38.0
1,0.39285714285714285,0.6470588235294118,0.4888888888888888,17.0
2,0.8846153846153846,0.6764705882352942,0.7666666666666666,34.0
3,0.5483870967741935,0.5151515151515151,0.53125,33.0
4,0.68,0.7083333333333334,0.6938775510204083,24.0
accuracy,0.6095890410958904,0.6095890410958904,0.6095890410958904,0.6095890410958904
macro avg,0.617838591516011,0.6199291678393846,0.6096501348287063,146.0
weighted avg,0.6393077764774626,0.6095890410958904,0.6173264148618844,146.0
