,precision,recall,f1-score,support
0,0.4523809523809524,0.27403846153846156,0.3413173652694611,208.0
1,0.375,0.7407407407407407,0.49792531120331956,81.0
2,0.6691176470588235,0.7222222222222222,0.6946564885496183,126.0
3,0.61,0.45864661654135336,0.5236051502145923,133.0
4,0.5923076923076923,0.7403846153846154,0.6581196581196581,104.0
accuracy,0.5306748466257669,0.5306748466257669,0.5306748466257669,0.5306748466257669
macro avg,0.5397612583494936,0.5872065312854786,0.5431247946713299,652.0
weighted avg,0.5391243276451685,0.5306748466257669,0.5167739404352054,652.0
