,precision,recall,f1-score,support
0,0.6944444444444444,0.6578947368421053,0.6756756756756757,38.0
1,0.5,0.47058823529411764,0.48484848484848486,17.0
2,0.8571428571428571,0.8823529411764706,0.8695652173913043,34.0
3,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.0
4,0.8461538461538461,0.9166666666666666,0.8799999999999999,24.0
accuracy,0.7671232876712328,0.7671232876712328,0.7671232876712328,0.7671232876712328
macro avg,0.7431845931845932,0.7491368796322357,0.7456542392194566,146.0
weighted avg,0.762598892735879,0.7671232876712328,0.764406282941125,146.0
