,precision,recall,f1-score,support
0,0.9123111221203865,0.8771135984758276,0.8943661971830985,4199.0
1,0.1180327868852459,0.22929936305732485,0.15584415584415584,157.0
2,0.7397260273972602,0.6585365853658537,0.6967741935483871,246.0
3,0.4307692307692308,0.4392156862745098,0.43495145631067966,255.0
4,0.41596638655462187,0.4900990099009901,0.45,202.0
accuracy,0.8088555050405218,0.8088555050405218,0.8088555050405218,0.8088555050405218
macro avg,0.5233611107453491,0.5388528486149011,0.5263872005772643,5059.0
weighted avg,0.8351787934363312,0.8088555050405218,0.8209389735938902,5059.0
