,precision,recall,f1-score,support
0,0.6780487804878049,0.6556603773584906,0.6666666666666667,424.0
1,0.8979591836734694,0.8098159509202454,0.8516129032258064,163.0
2,0.8146718146718147,0.844,0.8290766208251473,250.0
3,0.7439446366782007,0.8113207547169812,0.7761732851985559,265.0
4,0.7512437810945274,0.7401960784313726,0.745679012345679,204.0
accuracy,0.7557427258805512,0.7557427258805512,0.7557427258805512,0.7557427258805512
macro avg,0.7771736393211635,0.772198632285418,0.7738416976523711,1306.0
weighted avg,0.7564525601811373,0.7557427258805512,0.755400585141574,1306.0
