,precision,recall,f1-score,support
0,0.85,0.8602409638554217,0.8550898203592815,1245.0
1,0.7597402597402597,0.7177914110429447,0.7381703470031545,163.0
2,0.8297872340425532,0.78,0.8041237113402062,250.0
3,0.6826568265682657,0.6981132075471698,0.6902985074626865,265.0
4,0.7004830917874396,0.7107843137254902,0.7055961070559611,204.0
accuracy,0.8053596614950634,0.8053596614950634,0.8053596614950634,0.8053596614950634
macro avg,0.7645334824277036,0.7533859792342052,0.7586556986442579,2127.0
weighted avg,0.805518138511297,0.8053596614950634,0.8052704424357776,2127.0
