,precision,recall,f1-score,support
0,0.8611332801276935,0.8666666666666667,0.8638911128903122,1245.0
1,0.8571428571428571,0.7730061349693251,0.8129032258064516,163.0
2,0.8571428571428571,0.792,0.8232848232848233,250.0
3,0.6928327645051194,0.7660377358490567,0.7275985663082437,265.0
4,0.7192118226600985,0.7156862745098039,0.7174447174447176,204.0
accuracy,0.8236953455571228,0.8236953455571228,0.8236953455571228,0.8236953455571228
macro avg,0.797492716315725,0.7826793623989705,0.7890244891469097,2127.0
weighted avg,0.8257784805714599,0.8236953455571228,0.8241848658234618,2127.0
