,precision,recall,f1-score,support
0,0.7295918367346939,0.6745283018867925,0.7009803921568628,424.0
1,0.8851351351351351,0.803680981595092,0.8424437299035369,163.0
2,0.8902439024390244,0.876,0.8830645161290323,250.0
3,0.7407407407407407,0.9056603773584906,0.8149405772495755,265.0
4,0.8163265306122449,0.7843137254901961,0.8,204.0
accuracy,0.7932618683001531,0.7932618683001531,0.7932618683001531,0.7932618683001531
macro avg,0.8124076291323679,0.8088366772661143,0.8082858430878014,1306.0
weighted avg,0.7955680321236503,0.7932618683001531,0.7920822329649172,1306.0
