,feature,importance
28,acc_t-ARCoeff-4,0.0
27,acc_t-ARCoeff-3,0.0
26,acc_t-ARCoeff-2,0.0
25,acc_t-ARCoeff-1,0.0
45,acc_t-SMA-mag,0.0
49,acc_t-ARCoeff-mag1,0.0
50,acc_t-ARCoeff-mag2,0.0
51,acc_t-ARCoeff-mag3,0.0
52,acc_t-ARCoeff-mag4,0.0
23,acc_t-ropy-2,0.0
79,acc_f-MaxInds-2,0.0
80,acc_f-MaxInds-3,0.0
144,acc_f-Kurtosis-mag,0.0
