,precision,recall,f1-score,support
0,0.390745501285347,0.7562189054726368,0.5152542372881356,201.0
1,0.0,0.0,0.0,81.0
2,0.7105263157894737,0.6585365853658537,0.6835443037974684,123.0
3,0.47619047619047616,0.46875,0.47244094488188976,128.0
4,0.5,0.02,0.038461538461538464,100.0
accuracy,0.4660347551342812,0.4660347551342812,0.4660347551342812,0.4660347551342812
macro avg,0.4154924586530594,0.3807010981676981,0.34194020488580645,633.0
weighted avg,0.437420163590586,0.4660347551342812,0.39804209455456496,633.0
