,precision,recall,f1-score,support
0,0.5901639344262295,0.5094339622641509,0.5468354430379747,424.0
1,0.7142857142857143,0.7668711656441718,0.7396449704142012,163.0
2,0.83399209486166,0.844,0.8389662027833001,250.0
3,0.71875,0.8679245283018868,0.7863247863247864,265.0
4,0.7395833333333334,0.696078431372549,0.7171717171717172,204.0
accuracy,0.7075038284839203,0.7075038284839203,0.7075038284839203,0.7075038284839203
macro avg,0.7193550153813875,0.7368616175165517,0.7257886239463959,1306.0
weighted avg,0.7017609903068206,0.7075038284839203,0.7020222108733075,1306.0
