,precision,recall,f1-score,support
0,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
2,0.7692307692307693,1.0,0.8695652173913044,10.0
3,0.8571428571428571,0.75,0.7999999999999999,8.0
4,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
accuracy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,0.7382617382617382,0.7434065934065934,0.7362939958592133,45.0
weighted avg,0.7293817293817294,0.7333333333333333,0.7261996779388085,45.0
