,precision,recall,f1-score,support
0,0.6666666666666666,0.6530612244897959,0.6597938144329897,49.0
1,0.7222222222222222,0.8125,0.7647058823529411,16.0
2,0.8846153846153846,0.7931034482758621,0.8363636363636363,29.0
3,0.6333333333333333,0.6785714285714286,0.6551724137931035,28.0
4,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,0.7258119658119658,0.7318916647118618,0.7276515938329786,140.0
weighted avg,0.7186385836385837,0.7142857142857143,0.7154611718972564,140.0
