,precision,recall,f1-score,support
0,0.7,0.5384615384615384,0.608695652173913,13.0
1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
2,0.8181818181818182,0.9,0.8571428571428572,10.0
3,0.7,0.875,0.7777777777777777,8.0
4,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
accuracy,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
macro avg,0.757922077922078,0.776978021978022,0.7630089717046239,45.0
weighted avg,0.752929292929293,0.7555555555555555,0.7490376504869257,45.0
