,precision,recall,f1-score,support
0,0.75,0.75,0.75,20.0
1,0.6923076923076923,0.6923076923076923,0.6923076923076923,13.0
2,0.7368421052631579,0.7777777777777778,0.7567567567567567,18.0
3,0.7777777777777778,0.6666666666666666,0.717948717948718,21.0
4,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
accuracy,0.7415730337078652,0.7415730337078652,0.7415730337078652,0.7415730337078652
macro avg,0.7387539361223572,0.7420563097033686,0.738958188958189,89.0
weighted avg,0.7429528878375715,0.7415730337078652,0.7406827743906396,89.0
