,precision,recall,f1-score,support
0,0.6868686868686869,0.6601941747572816,0.6732673267326732,206.0
1,0.8607594936708861,0.8192771084337349,0.8395061728395061,83.0
2,0.8861788617886179,0.8650793650793651,0.8755020080321285,126.0
3,0.7112676056338029,0.7481481481481481,0.7292418772563176,135.0
4,0.7454545454545455,0.803921568627451,0.7735849056603775,102.0
accuracy,0.7607361963190185,0.7607361963190185,0.7607361963190185,0.7607361963190185
macro avg,0.778105838683308,0.7793240730091961,0.7782204581042006,652.0
weighted avg,0.7617392859692116,0.7607361963190185,0.7607954731159805,652.0
