,precision,recall,f1-score,support
0,0.9,0.5625,0.6923076923076923,16.0
1,0.875,0.875,0.875,8.0
2,1.0,1.0,1.0,8.0
3,0.7857142857142857,1.0,0.88,11.0
4,0.75,1.0,0.8571428571428571,9.0
accuracy,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
macro avg,0.862142857142857,0.8875,0.8608901098901098,52.0
weighted avg,0.861401098901099,0.8461538461538461,0.8359847844463228,52.0
