,precision,recall,f1-score,support
0,0.6181818181818182,1.0,0.7640449438202247,34.0
1,1.0,0.8571428571428571,0.923076923076923,7.0
2,1.0,0.7142857142857143,0.8333333333333333,7.0
3,0.0,0.0,0.0,10.0
4,0.0,0.0,0.0,8.0
accuracy,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
macro avg,0.5236363636363637,0.5142857142857143,0.5040910400460963,66.0
weighted avg,0.5305785123966942,0.6818181818181818,0.5798848467387794,66.0
