,precision,recall,f1-score,support
0,0.6976744186046512,0.7692307692307693,0.7317073170731708,39.0
1,0.9090909090909091,0.625,0.7407407407407406,16.0
2,0.8529411764705882,0.8285714285714286,0.8405797101449276,35.0
3,0.8235294117647058,0.8484848484848485,0.8358208955223881,33.0
4,0.84,0.875,0.8571428571428572,24.0
accuracy,0.8027210884353742,0.8027210884353742,0.8027210884353742,0.8027210884353742
macro avg,0.8246471831861708,0.7892574092574093,0.8011983041248169,147.0
weighted avg,0.8091440043247743,0.8027210884353742,0.8024642530370432,147.0
