,precision,recall,f1-score,support
0,0.9166666666666666,0.55,0.6874999999999999,20.0
1,0.8181818181818182,0.6923076923076923,0.7500000000000001,13.0
2,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
3,0.7407407407407407,0.9523809523809523,0.8333333333333334,21.0
4,0.7142857142857143,0.8823529411764706,0.7894736842105262,17.0
accuracy,0.797752808988764,0.797752808988764,0.797752808988764,0.797752808988764
macro avg,0.8157527657527657,0.7931860949508007,0.7898391812865497,89.0
weighted avg,0.8164956142484232,0.797752808988764,0.7912477823772915,89.0
