,precision,recall,f1-score,support
0,0.717391304347826,0.673469387755102,0.6947368421052631,49.0
1,0.7647058823529411,0.8125,0.787878787878788,16.0
2,0.9259259259259259,0.8620689655172413,0.8928571428571429,29.0
3,0.625,0.7142857142857143,0.6666666666666666,28.0
4,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
accuracy,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,0.7510490669697831,0.7569092579560561,0.7528723323460166,140.0
weighted avg,0.7481379991610171,0.7428571428571429,0.744340640562445,140.0
