,precision,recall,f1-score,support
0,0.6666666666666666,0.6153846153846154,0.64,13.0
1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
2,0.8181818181818182,0.9,0.8571428571428572,10.0
3,0.875,0.875,0.875,8.0
4,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
accuracy,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
macro avg,0.7576839826839826,0.7637912087912089,0.760142857142857,45.0
weighted avg,0.7521885521885521,0.7555555555555555,0.7531428571428572,45.0
