,precision,recall,f1-score,support
0,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
2,0.7,0.7,0.7,10.0
3,0.7777777777777778,0.875,0.823529411764706,8.0
4,0.625,0.7142857142857143,0.6666666666666666,7.0
accuracy,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7111111111111111
macro avg,0.7192568542568543,0.736978021978022,0.7261344537815126,45.0
weighted avg,0.7082210998877666,0.7111111111111111,0.7075163398692812,45.0
