,precision,recall,f1-score,support
0,0.6363636363636364,0.717948717948718,0.674698795180723,39.0
1,0.7692307692307693,0.625,0.6896551724137931,16.0
2,0.7878787878787878,0.7428571428571429,0.7647058823529412,35.0
3,0.7027027027027027,0.7878787878787878,0.7428571428571429,33.0
4,0.8,0.6666666666666666,0.7272727272727272,24.0
accuracy,0.7210884353741497,0.7210884353741497,0.7210884353741497,0.7210884353741497
macro avg,0.7392351792351792,0.7080702630702631,0.7198379440154654,147.0
weighted avg,0.7285089856518429,0.7210884353741497,0.7216413117132857,147.0
