,precision,recall,f1-score,support
0,0.7011494252873564,0.5922330097087378,0.6421052631578947,206.0
1,0.868421052631579,0.7951807228915663,0.8301886792452832,83.0
2,0.8,0.8571428571428571,0.8275862068965518,126.0
3,0.7354838709677419,0.8444444444444444,0.7862068965517242,135.0
4,0.6964285714285714,0.7647058823529411,0.7289719626168223,102.0
accuracy,0.7484662576687117,0.7484662576687117,0.7484662576687117,0.7484662576687117
macro avg,0.7602965840630496,0.7707413833081094,0.7630118016936553,652.0
weighted avg,0.7479168187791041,0.7484662576687117,0.7453194445985415,652.0
